Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,10,0.61,0.61,0.3990403765244761
75% Corpus,10,0.61,0.9099999999999999,0.374608502696327
75% Corpus,10,0.61,symmetric,0.33385407002613515
75% Corpus,10,0.9099999999999999,0.01,0.3663371621389504
75% Corpus,10,0.9099999999999999,0.31,0.33765272443794353
75% Corpus,10,0.9099999999999999,0.61,0.3584266278474028
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.38054954196049695
75% Corpus,10,0.9099999999999999,symmetric,0.35733490550698516
75% Corpus,10,symmetric,0.01,0.333285362285204
75% Corpus,10,symmetric,0.31,0.40757959880655886
75% Corpus,10,symmetric,0.61,0.4785036049484157
75% Corpus,10,symmetric,0.9099999999999999,0.3055780406423873
75% Corpus,10,symmetric,symmetric,0.319497927548681
75% Corpus,10,asymmetric,0.01,0.34449248922850806
75% Corpus,10,asymmetric,0.31,0.5172578139702572
75% Corpus,10,asymmetric,0.61,0.45068559986116946
75% Corpus,10,asymmetric,0.9099999999999999,0.29833066951736154
75% Corpus,10,asymmetric,symmetric,0.4544839398686761
100% Corpus,2,0.01,0.01,0.262494829962587
100% Corpus,2,0.01,0.31,0.202379594632857
100% Corpus,2,0.01,0.61,0.19871581579059555
100% Corpus,2,0.01,0.9099999999999999,0.16016961482295805
100% Corpus,2,0.01,symmetric,0.16686182431924326
100% Corpus,2,0.31,0.01,0.18700326845887394
100% Corpus,2,0.31,0.31,0.20376714543213023
100% Corpus,2,0.31,0.61,0.21723932746903307
100% Corpus,2,0.31,0.9099999999999999,0.2123315721612456
100% Corpus,2,0.31,symmetric,0.19768220395317848
100% Corpus,2,0.61,0.01,0.19231979609458316
100% Corpus,2,0.61,0.31,0.2130847507330805
100% Corpus,2,0.61,0.61,0.19742373688351425
100% Corpus,2,0.61,0.9099999999999999,0.2181736376130946
100% Corpus,2,0.61,symmetric,0.21335897777769214
100% Corpus,2,0.9099999999999999,0.01,0.1877634056675166
100% Corpus,2,0.9099999999999999,0.31,0.196190797583505
100% Corpus,2,0.9099999999999999,0.61,0.2234544649837775
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.19929143097789578
100% Corpus,2,0.9099999999999999,symmetric,0.2176158966763073
100% Corpus,2,symmetric,0.01,0.17972005959361237
100% Corpus,2,symmetric,0.31,0.20451325042834745
100% Corpus,2,symmetric,0.61,0.22430559070620804
100% Corpus,2,symmetric,0.9099999999999999,0.20257299748299984
100% Corpus,2,symmetric,symmetric,0.22424755231553917
100% Corpus,2,asymmetric,0.01,0.16405275540978304
100% Corpus,2,asymmetric,0.31,0.18606234453827653
100% Corpus,2,asymmetric,0.61,0.17549404734127805
100% Corpus,2,asymmetric,0.9099999999999999,0.17799695601704546
100% Corpus,2,asymmetric,symmetric,0.17549404734127805
100% Corpus,3,0.01,0.01,0.24608679273793202
100% Corpus,3,0.01,0.31,0.27084972531377355
100% Corpus,3,0.01,0.61,0.2546430391620215
100% Corpus,3,0.01,0.9099999999999999,0.220518136667104
100% Corpus,3,0.01,symmetric,0.2556738051315949
100% Corpus,3,0.31,0.01,0.19806279253516043
100% Corpus,3,0.31,0.31,0.22564100625270775
100% Corpus,3,0.31,0.61,0.21486075697518836
100% Corpus,3,0.31,0.9099999999999999,0.23756726951918053
100% Corpus,3,0.31,symmetric,0.19490823870501625
100% Corpus,3,0.61,0.01,0.1943256644840935
100% Corpus,3,0.61,0.31,0.23288258519133054
100% Corpus,3,0.61,0.61,0.19923407710194288
100% Corpus,3,0.61,0.9099999999999999,0.21295567807525487
100% Corpus,3,0.61,symmetric,0.22306244094388236
100% Corpus,3,0.9099999999999999,0.01,0.16547964310948807
100% Corpus,3,0.9099999999999999,0.31,0.21180883116055757
100% Corpus,3,0.9099999999999999,0.61,0.19654034103989926
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.20195106117819014
100% Corpus,3,0.9099999999999999,symmetric,0.20031081970566578
100% Corpus,3,symmetric,0.01,0.19567093246374032
100% Corpus,3,symmetric,0.31,0.21540240668172847
100% Corpus,3,symmetric,0.61,0.22192374692971903
100% Corpus,3,symmetric,0.9099999999999999,0.23339119503201908
100% Corpus,3,symmetric,symmetric,0.18959018524846027
100% Corpus,3,asymmetric,0.01,0.30491239068290615
100% Corpus,3,asymmetric,0.31,0.3366496249330217
100% Corpus,3,asymmetric,0.61,0.30010559805029585
100% Corpus,3,asymmetric,0.9099999999999999,0.27503397676600155
100% Corpus,3,asymmetric,symmetric,0.3411038823271088
100% Corpus,4,0.01,0.01,0.20372947219810209
100% Corpus,4,0.01,0.31,0.2521976005015275
100% Corpus,4,0.01,0.61,0.3229681328527509
100% Corpus,4,0.01,0.9099999999999999,0.25677890440348744
100% Corpus,4,0.01,symmetric,0.23536496924683187
100% Corpus,4,0.31,0.01,0.2180885169678189
100% Corpus,4,0.31,0.31,0.21037599218573216
100% Corpus,4,0.31,0.61,0.26284820678042103
100% Corpus,4,0.31,0.9099999999999999,0.3239051961373991
100% Corpus,4,0.31,symmetric,0.220193880566876
100% Corpus,4,0.61,0.01,0.24418090620334104
100% Corpus,4,0.61,0.31,0.2288231560142883
100% Corpus,4,0.61,0.61,0.2421430653431258
100% Corpus,4,0.61,0.9099999999999999,0.27526432325369965
100% Corpus,4,0.61,symmetric,0.2169245154448144
100% Corpus,4,0.9099999999999999,0.01,0.2333198622247996
100% Corpus,4,0.9099999999999999,0.31,0.22621867256822298
100% Corpus,4,0.9099999999999999,0.61,0.221772867396354
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.2380495816853352
100% Corpus,4,0.9099999999999999,symmetric,0.2314958822313345
100% Corpus,4,symmetric,0.01,0.22472724963917096
100% Corpus,4,symmetric,0.31,0.19852200092285324
100% Corpus,4,symmetric,0.61,0.28062488400238933
100% Corpus,4,symmetric,0.9099999999999999,0.3321310468653811
100% Corpus,4,symmetric,symmetric,0.18667666336317293
100% Corpus,4,asymmetric,0.01,0.3489373434197394
100% Corpus,4,asymmetric,0.31,0.3819224031315378
100% Corpus,4,asymmetric,0.61,0.33762294705659684
100% Corpus,4,asymmetric,0.9099999999999999,0.4332882009556797
100% Corpus,4,asymmetric,symmetric,0.3847781025328892
100% Corpus,5,0.01,0.01,0.2764227976672696
100% Corpus,5,0.01,0.31,0.3125550706453069
100% Corpus,5,0.01,0.61,0.34591799812271445
100% Corpus,5,0.01,0.9099999999999999,0.3249226094346379
100% Corpus,5,0.01,symmetric,0.2580055240604563
100% Corpus,5,0.31,0.01,0.25733565007057296
100% Corpus,5,0.31,0.31,0.29671737312468405
100% Corpus,5,0.31,0.61,0.35318071141082275
100% Corpus,5,0.31,0.9099999999999999,0.3729252137684821
100% Corpus,5,0.31,symmetric,0.2997870387078576
100% Corpus,5,0.61,0.01,0.2567183022488624
100% Corpus,5,0.61,0.31,0.24173155222945306
